rawX,rawY,rawZ,comX,comY
413,-185,-20,-111.167137,-93.804558,-20
404,-197,-3,-111.155624,-93.802811,-3
411,-181,-29,-111.175720,-93.806549,-29
413,-177,-27,-111.182167,-93.806564,-27
417,-148,-12,-111.179710,-93.806351,-12
411,-162,-11,-111.160927,-93.802582,-11
402,-161,-6,-111.162811,-93.802040,-6
412,-144,-27,-111.159348,-93.800140,-27
404,-152,0,-111.159370,-93.799911,0
423,-159,-35,-111.164246,-93.800125,-35
415,-149,4,-111.143883,-93.797264,4
412,-147,-19,-111.147621,-93.798103,-19
413,-158,-21,-111.133263,-93.796242,-21
423,-148,-18,-111.146393,-93.798996,-18
394,-156,-40,-111.147758,-93.798485,-40
405,-155,-20,-111.136124,-93.797447,-20
416,-115,-18,-111.153358,-93.797539,-18
404,-156,-26,-111.154472,-93.798965,-26
403,-159,-14,-111.155220,-93.799561,-14
423,-182,-41,-111.145363,-93.798569,-41
403,-183,-33,-111.139297,-93.797256,-33
420,-191,-10,-111.129745,-93.796227,-10
417,-158,-14,-111.119095,-93.796150,-14
417,-144,-19,-111.105957,-93.795067,-19
406,-146,-28,-111.109047,-93.796394,-28
413,-148,-39,-111.115051,-93.797989,-39
406,-160,-24,-111.109154,-93.796814,-24
420,-159,-17,-111.071671,-93.791740,-17
419,-169,-5,-111.082588,-93.793655,-5
430,-164,-2,-111.065857,-93.790062,-2
415,-112,-25,-111.069366,-93.789124,-25
425,-156,-45,-111.075256,-93.790810,-45
428,-134,-8,-111.062576,-93.789032,-8
386,-152,-33,-111.033867,-93.783195,-33
428,-149,-16,-111.010384,-93.779640,-16
432,-155,-36,-111.022224,-93.781654,-36
420,-158,-36,-111.002434,-93.778999,-36
419,-159,-32,-111.010086,-93.780785,-32
422,-157,-14,-111.005875,-93.780258,-14
421,-139,5,-111.005013,-93.780403,5
415,-167,-17,-110.974541,-93.774803,-17
427,-144,-8,-110.986664,-93.775406,-8
405,-157,-14,-111.028854,-93.780754,-14
413,-171,-6,-111.032867,-93.780830,-6
404,-187,1,-111.042107,-93.782043,1
405,-169,0,-111.068283,-93.784790,0
420,-188,-9,-111.076744,-93.785164,-9
421,-176,-5,-111.081924,-93.786224,-5
407,-172,30,-111.075279,-93.784950,30
400,-184,6,-111.069473,-93.783752,6
404,-204,1,-111.055275,-93.780342,1
435,-179,27,-111.055099,-93.780373,27
408,-204,12,-111.037193,-93.777328,12
418,-179,19,-111.038399,-93.776367,19
395,-218,27,-111.041176,-93.777000,27
407,-193,12,-111.015259,-93.771858,12
410,-209,16,-111.035332,-93.775276,16
433,-221,28,-111.051208,-93.777138,28
429,-193,17,-111.083519,-93.781342,17
398,-227,30,-111.092690,-93.782204,30
412,-212,12,-111.100426,-93.783081,12
407,-203,38,-111.069275,-93.778122,38
421,-234,45,-111.097473,-93.782776,45
402,-212,24,-111.095993,-93.780937,24
437,-196,25,-111.078522,-93.778481,25
391,-205,36,-111.119911,-93.785172,36
433,-195,37,-111.117966,-93.784645,37
418,-214,32,-111.155182,-93.790749,32
415,-198,29,-111.160217,-93.792465,29
417,-199,13,-111.136734,-93.789360,13
427,-205,18,-111.130043,-93.788635,18
424,-183,52,-111.147263,-93.791618,52
422,-205,27,-111.158051,-93.793068,27
409,-190,29,-111.175240,-93.795303,29
412,-176,15,-111.164551,-93.793030,15
428,-195,44,-111.171356,-93.794022,44
401,-195,25,-111.164825,-93.792786,25
420,-205,20,-111.157875,-93.792892,20
416,-188,20,-111.137245,-93.789658,20
421,-219,2,-111.122032,-93.787476,2
400,-209,39,-111.124573,-93.787323,39
410,-202,27,-111.102005,-93.784035,27
417,-207,25,-111.065674,-93.778008,25
418,-173,3,-111.071037,-93.778854,3
425,-201,32,-111.099075,-93.783470,32
424,-167,40,-111.097977,-93.783051,40
416,-173,28,-111.085373,-93.780151,28
430,-170,8,-111.104843,-93.782845,8
415,-190,51,-111.094810,-93.780823,51
409,-187,52,-111.101730,-93.781448,52
407,-190,29,-111.108337,-93.783241,29
408,-161,9,-111.090828,-93.780701,9
427,-178,24,-111.094139,-93.781387,24
407,-178,23,-111.091789,-93.781593,23
391,-188,36,-111.107506,-93.782951,36
432,-182,23,-111.103310,-93.782295,23
